Geneid,Genesymbol,Genebiotype,LNCAP_Hypoxia_S1,LNCAP_Hypoxia_S2,LNCAP_Normoxia_S1,LNCAP_Normoxia_S2,PC3_Hypoxia_S1,PC3_Hypoxia_S2,PC3_Normoxia_S1,PC3_Normoxia_S2
ENSG00000118193,KIF14,protein_coding,1592,1840,1499,1308,3943,1111,1250,3282
ENSG00000118194,TNNT2,protein_coding,27,37,40,73,1,0,0,0
ENSG00000118197,DDX59,protein_coding,867,1028,1485,1635,544,209,226,592
ENSG00000118200,CAMSAP2,protein_coding,7021,8137,5885,5848,1223,368,403,1368
ENSG00000118217,ATF6,protein_coding,2382,2732,3208,3627,3211,1188,1307,3479
ENSG00000118231,CRYGD,protein_coding,0,0,0,0,0,0,0,0
ENSG00000118242,MREG,protein_coding,207,273,223,293,402,129,149,399
ENSG00000118245,TNP1,protein_coding,0,0,0,0,1,1,0,0
ENSG00000118246,FASTKD2,protein_coding,1276,1675,1702,1728,1147,419,504,1386
ENSG00000118257,NRP2,protein_coding,5,6,1,8,1300,406,728,1817
ENSG00000118260,CREB1,protein_coding,7784,8362,4625,5141,2168,791,710,1861
ENSG00000118263,KLF7,protein_coding,1145,1187,318,502,3193,983,472,1171
ENSG00000118271,TTR,protein_coding,263,337,115,156,0,0,0,0
ENSG00000118276,B4GALT6,protein_coding,600,634,441,426,181,52,72,209
ENSG00000118292,C1orf54,protein_coding,57,66,18,17,13,3,4,16
ENSG00000118298,CA14,protein_coding,23,32,20,28,18,4,10,14
ENSG00000118307,CFAP94,protein_coding,57,69,78,52,2,1,2,2
ENSG00000118308,IRAG2,protein_coding,2,4,4,3,0,0,0,0
ENSG00000118322,ATP10B,protein_coding,1,2,6,7,1,0,1,0
ENSG00000118363,SPCS2,protein_coding,812,889,1074,1355,115,46,45,119
ENSG00000118369,USP35,protein_coding,575,581,321,426,140,36,50,131
ENSG00000118402,ELOVL4,protein_coding,84,76,68,49,157,46,47,147
ENSG00000118407,FILIP1,protein_coding,4,2,6,13,1,0,2,11
ENSG00000118412,CASP8AP2,protein_coding,864,1048,994,825,1282,438,464,1344
ENSG00000118418,HMGN3,protein_coding,5064,6029,6149,7058,261,85,117,260
ENSG00000118420,UBE3D,protein_coding,60,53,67,95,133,35,52,161
ENSG00000118432,CNR1,protein_coding,1,2,0,0,1,0,2,10
ENSG00000118434,SPACA1,protein_coding,0,0,0,0,0,0,0,0
ENSG00000118454,ANKRD13C,protein_coding,1515,1767,1763,1653,999,285,323,875
ENSG00000118473,SGIP1,protein_coding,2,12,8,10,0,0,0,1
ENSG00000118482,PHF3,protein_coding,4316,5140,4344,4370,4573,1376,1514,4228
ENSG00000118491,ZC2HC1B,protein_coding,0,0,1,0,0,0,3,4
ENSG00000118492,ADGB,protein_coding,0,0,0,1,0,0,0,1
ENSG00000118495,PLAGL1,protein_coding,40,52,37,37,1443,529,195,467
ENSG00000118496,FBXO30,protein_coding,1067,1206,1144,1222,664,180,186,534
ENSG00000118503,TNFAIP3,protein_coding,181,207,206,288,549,202,148,363
ENSG00000118507,AKAP7,protein_coding,328,334,477,509,99,51,49,136
ENSG00000118508,RAB32,protein_coding,305,336,254,363,519,178,229,605
ENSG00000118513,MYB,protein_coding,141,145,242,304,442,154,111,344
ENSG00000118514,ALDH8A1,protein_coding,4,4,5,3,5,0,2,4
ENSG00000118515,SGK1,protein_coding,156,181,79,93,178,68,72,198
ENSG00000118518,RNF146,protein_coding,1033,1094,961,1227,270,86,100,320
ENSG00000118520,ARG1,protein_coding,21,25,127,85,2,0,2,7
ENSG00000118523,CCN2,protein_coding,14,16,0,2,340,97,150,506
ENSG00000118526,TCF21,protein_coding,0,0,0,0,0,0,0,0
ENSG00000118557,PMFBP1,protein_coding,22,19,11,17,16,4,2,11
ENSG00000118564,FBXL5,protein_coding,2671,2936,2843,3159,1153,375,530,1280
ENSG00000118579,MED28,protein_coding,3725,4063,3627,4261,907,286,321,808
ENSG00000118596,SLC16A7,protein_coding,262,253,103,123,930,273,296,907
ENSG00000118600,RXYLT1,protein_coding,405,461,852,956,255,106,177,423
ENSG00000118620,ZNF430,protein_coding,689,778,698,778,243,100,104,261
ENSG00000118640,VAMP8,protein_coding,1506,1531,1355,2189,397,139,194,536
ENSG00000118655,DCLRE1B,protein_coding,449,519,489,548,581,222,250,632
ENSG00000118680,MYL12B,protein_coding,6921,8431,7961,9952,7611,2678,2564,6689
ENSG00000118689,FOXO3,protein_coding,2578,3003,2473,3245,930,299,264,632
ENSG00000118690,ARMC2,protein_coding,136,154,210,193,112,45,38,113
ENSG00000118702,GHRH,protein_coding,0,0,0,0,0,0,1,1
ENSG00000118705,RPN2,protein_coding,11983,13875,13896,16383,18244,6360,6407,16190
ENSG00000118707,TGIF2,protein_coding,645,649,343,536,891,273,332,830
ENSG00000118729,CASQ2,protein_coding,1,2,0,1,3,1,0,2
ENSG00000118733,OLFM3,protein_coding,0,0,0,0,1,4,1,0
ENSG00000118762,PKD2,protein_coding,631,751,938,993,549,155,194,532
ENSG00000118777,ABCG2,protein_coding,1,3,6,8,1,0,0,0
ENSG00000118785,SPP1,protein_coding,1,2,2,0,1780,509,1253,3512
ENSG00000118804,STBD1,protein_coding,26,24,28,34,17,4,6,15
ENSG00000118816,CCNI,protein_coding,22593,24337,19432,23483,5704,2154,1761,4925
ENSG00000118849,RARRES1,protein_coding,1,3,0,0,4,0,1,3
ENSG00000118855,MFSD1,protein_coding,3716,4325,4112,5724,2674,831,627,1797
ENSG00000118873,RAB3GAP2,protein_coding,2708,3160,3260,3609,2258,773,780,2071
ENSG00000118894,EEF2KMT,protein_coding,156,210,297,436,37,14,41,109
ENSG00000118898,PPL,protein_coding,420,457,382,486,30,6,10,28
ENSG00000118900,UBN1,protein_coding,3954,4620,3888,4488,815,245,264,689
ENSG00000118922,KLF12,protein_coding,8,8,5,5,422,139,100,335
ENSG00000118939,UCHL3,protein_coding,119,140,163,209,146,63,52,155
ENSG00000118946,PCDH17,protein_coding,1,1,4,2,26,7,4,17
ENSG00000118960,HS1BP3,protein_coding,794,910,975,1401,252,117,176,394
ENSG00000118961,LDAH,protein_coding,930,989,1013,1212,1,0,0,0
ENSG00000118965,WDR35,protein_coding,830,1060,1799,1865,621,213,330,800
ENSG00000118971,CCND2,protein_coding,8,3,1,4,594,188,240,657
ENSG00000118972,FGF23,protein_coding,1,1,1,0,1,0,0,0
ENSG00000118985,ELL2,protein_coding,13552,17710,6901,6805,1577,560,395,973
ENSG00000118997,DNAH7,protein_coding,82,131,54,46,19,9,10,34
ENSG00000119004,CYP20A1,protein_coding,344,400,594,701,253,103,131,372
ENSG00000119013,NDUFB3,protein_coding,1618,1891,2495,3051,843,276,315,851
ENSG00000119041,GTF3C3,protein_coding,1378,1525,1876,2164,1555,554,758,2106
ENSG00000119042,SATB2,protein_coding,676,675,513,461,497,165,128,465
ENSG00000119048,UBE2B,protein_coding,1742,1956,1565,2024,790,233,229,682
ENSG00000119121,TRPM6,protein_coding,1,3,3,1,1,1,2,15
ENSG00000119125,GDA,protein_coding,0,0,2,1,0,0,0,0
ENSG00000119138,KLF9,protein_coding,3737,3833,4505,5120,205,92,73,163
ENSG00000119139,TJP2,protein_coding,117,122,144,124,23,4,7,28
ENSG00000119147,ECRG4,protein_coding,1,0,0,1,0,0,0,0
ENSG00000119185,ITGB1BP1,protein_coding,622,831,1025,1232,693,246,256,666
ENSG00000119203,CPSF3,protein_coding,1803,2243,2473,2728,426,155,186,516
ENSG00000119227,PIGZ,protein_coding,88,89,72,184,35,13,21,38
ENSG00000119231,SENP5,protein_coding,1492,1704,1338,1595,1630,496,628,1724
ENSG00000119242,CCDC92,protein_coding,1512,1583,709,1140,504,150,129,391
ENSG00000119280,C1orf198,protein_coding,1359,1525,1402,1783,423,172,357,827
ENSG00000119283,TRIM67,protein_coding,13,8,6,5,4,0,0,3
ENSG00000119285,HEATR1,protein_coding,1981,2426,2818,2799,548,179,329,924
ENSG00000119314,PTBP3,protein_coding,4546,4904,3828,4038,6618,2158,1818,4989
ENSG00000119318,RAD23B,protein_coding,13824,15900,15246,17139,542,183,210,699
ENSG00000119321,FKBP15,protein_coding,2557,2678,2151,2539,1097,375,408,991
ENSG00000119326,CTNNAL1,protein_coding,3704,4215,2151,2382,1581,477,467,1271
ENSG00000119328,ABITRAM,protein_coding,1997,2398,2449,2156,705,247,256,681
ENSG00000119333,DYNC2I2,protein_coding,667,762,666,1046,132,53,108,233
ENSG00000119335,SET,protein_coding,22537,26971,28813,30387,5051,1556,2123,5625
ENSG00000119383,PTPA,protein_coding,2171,2359,2163,3886,1077,414,620,1445
ENSG00000119392,GLE1,protein_coding,2143,2630,3172,3532,1540,639,706,1973
ENSG00000119396,RAB14,protein_coding,4404,5513,4265,4146,1088,350,331,902
ENSG00000119397,CNTRL,protein_coding,764,793,837,787,355,129,221,566
ENSG00000119401,TRIM32,protein_coding,802,782,592,932,571,184,208,531
ENSG00000119402,FBXW2,protein_coding,4678,5579,4547,5679,2557,831,994,2729
ENSG00000119403,PHF19,protein_coding,154,143,155,202,1248,392,568,1511
ENSG00000119408,NEK6,protein_coding,3808,4269,3403,3829,636,192,184,539
ENSG00000119411,BSPRY,protein_coding,1308,1322,723,920,11,2,3,10
ENSG00000119414,PPP6C,protein_coding,3389,3941,3866,4263,1804,650,681,1828
ENSG00000119421,NDUFA8,protein_coding,1082,1266,1328,2323,646,238,308,702
ENSG00000119431,HDHD3,protein_coding,362,434,447,675,93,41,66,133
ENSG00000119446,RBM18,protein_coding,1822,2037,2890,3579,502,181,254,686
ENSG00000119457,SLC46A2,protein_coding,0,0,0,0,2,1,2,0
ENSG00000119471,HSDL2,protein_coding,2041,2202,3014,3595,2392,765,733,1946
ENSG00000119487,MAPKAP1,protein_coding,2787,3126,3437,4692,885,342,402,1077
ENSG00000119508,NR4A3,protein_coding,11,18,5,9,15,6,4,13
ENSG00000119509,INVS,protein_coding,901,1108,869,998,615,216,249,666
ENSG00000119514,GALNT12,protein_coding,5,9,28,34,323,137,90,287
ENSG00000119522,DENND1A,protein_coding,1935,2179,1393,1903,350,129,93,258
ENSG00000119523,ALG2,protein_coding,2465,2762,3379,4210,1377,482,564,1512
ENSG00000119535,CSF3R,protein_coding,2,2,1,9,0,0,0,1
ENSG00000119537,KDSR,protein_coding,590,794,901,990,626,206,253,647
ENSG00000119541,VPS4B,protein_coding,2223,2671,2752,3005,807,239,245,741
ENSG00000119547,ONECUT2,protein_coding,3137,1551,1114,2683,300,108,156,391
ENSG00000119559,C19orf25,protein_coding,411,424,411,621,196,98,154,369
ENSG00000119574,ZBTB45,protein_coding,3069,2968,2591,3464,147,85,109,240
ENSG00000119596,YLPM1,protein_coding,7421,8492,7287,9033,468,133,223,619
ENSG00000119599,DCAF4,protein_coding,389,475,519,602,476,177,333,901
ENSG00000119608,PROX2,protein_coding,5,16,22,8,4,2,4,12
ENSG00000119614,VSX2,protein_coding,3,2,2,3,0,0,0,0
ENSG00000119616,FCF1,protein_coding,2231,2582,3497,3597,918,299,393,1075
ENSG00000119630,PGF,protein_coding,11,13,3,4,24,5,7,8
ENSG00000119632,IFI27L2,protein_coding,32,26,29,143,119,57,87,193
ENSG00000119636,BBOF1,protein_coding,284,247,321,303,56,25,21,72
ENSG00000119638,NEK9,protein_coding,6213,7121,5950,7189,578,211,266,714
ENSG00000119640,ACYP1,protein_coding,147,191,314,310,53,28,32,106
ENSG00000119650,IFT43,protein_coding,295,352,486,772,83,39,53,158
ENSG00000119655,NPC2,protein_coding,969,1027,729,1446,1181,410,352,916
ENSG00000119661,DNAL1,protein_coding,1387,1671,1173,1355,254,77,69,211
ENSG00000119669,IRF2BPL,protein_coding,3450,3580,2728,3621,918,311,368,897
ENSG00000119673,ACOT2,protein_coding,411,569,478,729,233,88,134,298
ENSG00000119681,LTBP2,protein_coding,174,177,174,218,185,74,79,206
ENSG00000119682,AREL1,protein_coding,2493,2857,2003,2491,1160,426,418,1268
ENSG00000119684,MLH3,protein_coding,2047,2350,1618,1567,192,85,65,255
ENSG00000119685,TTLL5,protein_coding,2723,3113,2615,3193,1290,441,383,1147
ENSG00000119686,FLVCR2,protein_coding,134,145,172,314,22,11,14,37
ENSG00000119688,ABCD4,protein_coding,733,822,513,758,147,47,77,153
ENSG00000119689,DLST,protein_coding,2335,2841,2821,3915,749,280,391,1043
ENSG00000119698,PPP4R4,protein_coding,102,118,128,127,69,15,26,88
ENSG00000119699,TGFB3,protein_coding,37,41,25,17,57,20,25,74
ENSG00000119703,ZC2HC1C,protein_coding,404,420,379,466,23,4,17,31
ENSG00000119705,SLIRP,protein_coding,1821,2268,2940,3872,770,257,285,873
ENSG00000119707,RBM25,protein_coding,19482,21943,20273,21225,5566,1673,2064,6284
ENSG00000119711,ALDH6A1,protein_coding,2780,3325,5186,5353,338,122,143,392
ENSG00000119714,GPR68,protein_coding,18,8,4,18,23,10,7,17
ENSG00000119715,ESRRB,protein_coding,1,1,3,6,0,0,0,3
ENSG00000119718,EIF2B2,protein_coding,2187,2568,1811,2299,349,117,180,439
ENSG00000119720,NRDE2,protein_coding,651,778,576,667,64,37,30,105
ENSG00000119723,COQ6,protein_coding,390,471,496,635,116,38,47,130
ENSG00000119725,ZNF410,protein_coding,30,43,34,43,14,10,10,47
ENSG00000119729,RHOQ,protein_coding,1190,1280,1086,1398,949,279,329,855
ENSG00000119737,GPR75,protein_coding,72,100,101,129,80,19,26,107
ENSG00000119760,SUPT7L,protein_coding,3580,3875,3425,4107,1205,418,471,1449
ENSG00000119771,KLHL29,protein_coding,959,1096,476,654,226,85,73,227
ENSG00000119772,DNMT3A,protein_coding,1073,1291,983,1282,185,63,91,226
ENSG00000119777,TMEM214,protein_coding,2254,2512,2205,3083,1820,632,543,1531
ENSG00000119778,ATAD2B,protein_coding,1602,1945,1168,1300,686,229,263,670
ENSG00000119782,FKBP1B,protein_coding,2,0,0,3,7,3,1,7
ENSG00000119787,ATL2,protein_coding,2013,2271,1674,1661,2500,834,948,2567
ENSG00000119801,YPEL5,protein_coding,1947,2350,1617,1741,2042,688,419,1123
ENSG00000119812,FAM98A,protein_coding,2823,3301,3720,4333,651,173,315,892
ENSG00000119820,YIPF4,protein_coding,1068,1229,1284,1521,1062,344,384,1048
ENSG00000119844,AFTPH,protein_coding,2844,3408,2889,3112,1010,294,324,968
ENSG00000119862,LGALSL,protein_coding,2096,2418,1175,1249,438,150,194,585
ENSG00000119865,CNRIP1,protein_coding,0,1,0,2,591,178,110,320
ENSG00000119866,BCL11A,protein_coding,1,2,1,0,173,52,80,211
ENSG00000119878,CRIPT,protein_coding,521,490,549,809,207,70,69,260
ENSG00000119888,EPCAM,protein_coding,4998,5863,6305,7168,257,87,79,242
ENSG00000119899,SLC17A5,protein_coding,1129,1320,648,821,561,157,145,369
ENSG00000119900,OGFRL1,protein_coding,3431,3940,2246,2098,2345,742,944,2339
ENSG00000119906,SLF2,protein_coding,746,921,1236,1125,2064,712,728,2022
ENSG00000119912,IDE,protein_coding,3213,3905,3315,3318,2617,802,931,2568
ENSG00000119913,TECTB,protein_coding,0,0,1,0,5,1,2,2
ENSG00000119915,ELOVL3,protein_coding,1,0,3,4,14,6,15,41
ENSG00000119917,IFIT3,protein_coding,919,1136,1843,2259,309,103,135,379
ENSG00000119919,NKX2-3,protein_coding,0,0,0,0,13,4,14,36
ENSG00000119922,IFIT2,protein_coding,4002,4337,5744,6751,352,107,169,446
ENSG00000119927,GPAM,protein_coding,1880,2337,2335,2436,1157,373,597,1530
ENSG00000119929,CUTC,protein_coding,585,687,465,564,199,48,85,252
ENSG00000119938,PPP1R3C,protein_coding,0,1,2,0,0,0,0,0
ENSG00000119943,PYROXD2,protein_coding,233,248,358,502,22,11,22,40
ENSG00000119946,CNNM1,protein_coding,97,120,59,104,83,26,36,115
ENSG00000119950,MXI1,protein_coding,7100,6822,2924,3286,3451,1246,291,812
ENSG00000119953,SMNDC1,protein_coding,2818,3209,2714,3543,450,136,146,488
ENSG00000119965,C10orf88,protein_coding,291,326,312,352,135,48,90,180
ENSG00000119969,HELLS,protein_coding,878,1187,1204,1050,781,244,364,893
ENSG00000119973,PRLHR,protein_coding,1,0,0,0,0,0,0,0
ENSG00000119977,TCTN3,protein_coding,978,1095,1490,1877,810,332,465,1174
ENSG00000119979,DENND10,protein_coding,740,781,641,816,275,102,141,307
ENSG00000119986,AVPI1,protein_coding,76,68,85,187,177,81,70,222
ENSG00000120008,WDR11,protein_coding,4308,4724,3995,4833,1828,634,619,1804
ENSG00000120029,ARMH3,protein_coding,801,945,915,1138,634,247,292,742
ENSG00000120049,KCNIP2,protein_coding,62,81,47,72,13,0,4,11
ENSG00000120051,CFAP58,protein_coding,4,16,21,10,5,3,4,2
ENSG00000120053,GOT1,protein_coding,2264,2988,3724,4811,857,247,495,1395
ENSG00000120054,CPN1,protein_coding,0,0,0,0,0,0,0,0
ENSG00000120055,C10orf95,protein_coding,1,0,0,0,0,0,0,0
ENSG00000120057,SFRP5,protein_coding,0,0,0,0,0,0,0,1
ENSG00000120063,GNA13,protein_coding,2045,2450,1892,1778,4607,1428,1265,3468
ENSG00000120068,HOXB8,protein_coding,3,2,6,0,15,1,5,4
ENSG00000120071,KANSL1,protein_coding,2740,3333,2365,2710,4921,1697,896,2409
ENSG00000120075,HOXB5,protein_coding,8,24,29,16,68,21,46,113
ENSG00000120088,CRHR1,protein_coding,0,4,0,1,3,0,0,1
ENSG00000120093,HOXB3,protein_coding,55,52,53,44,292,99,161,423
ENSG00000120094,HOXB1,protein_coding,0,0,0,0,0,0,0,0
ENSG00000120129,DUSP1,protein_coding,1640,1852,702,975,1888,650,186,491
ENSG00000120137,PANK3,protein_coding,6031,7115,4794,4471,2080,649,698,1965
ENSG00000120149,MSX2,protein_coding,233,261,270,347,126,42,71,225
ENSG00000120156,TEK,protein_coding,1,7,1,2,18,8,2,19
ENSG00000120158,RCL1,protein_coding,944,1193,1299,1482,446,133,200,588
ENSG00000120159,CAAP1,protein_coding,2305,2699,2237,2342,345,110,119,312
ENSG00000120160,EQTN,protein_coding,0,0,0,0,3,0,0,0
ENSG00000120162,MOB3B,protein_coding,8,8,6,7,247,71,130,371
ENSG00000120210,INSL6,protein_coding,7,1,17,27,0,0,0,1
ENSG00000120211,INSL4,protein_coding,0,0,2,0,0,0,1,2
ENSG00000120215,MLANA,protein_coding,27,17,13,12,10,3,1,4
ENSG00000120217,CD274,protein_coding,265,304,270,536,68,24,41,130
ENSG00000120235,IFNA6,protein_coding,0,0,0,0,0,0,0,0
ENSG00000120242,IFNA8,protein_coding,0,0,0,0,0,0,0,0
ENSG00000120251,GRIA2,protein_coding,0,0,2,0,0,1,0,1
ENSG00000120253,NUP43,protein_coding,1526,1762,1650,2119,717,219,324,837
ENSG00000120254,MTHFD1L,protein_coding,982,1082,937,1090,249,91,113,253
ENSG00000120256,LRP11,protein_coding,98,88,94,105,11,1,5,25
ENSG00000120262,CCDC170,protein_coding,0,0,0,5,3,2,1,4
ENSG00000120265,PCMT1,protein_coding,1525,1851,1537,1903,1305,402,418,955
ENSG00000120278,PLEKHG1,protein_coding,17,27,23,41,35,22,27,82
ENSG00000120279,MYCT1,protein_coding,1,0,0,0,11,2,1,3
ENSG00000120280,TASL,protein_coding,0,0,0,0,0,0,0,0
ENSG00000120289,MAGEB4,protein_coding,0,0,0,0,0,0,0,0
ENSG00000120306,CYSTM1,protein_coding,591,538,844,1365,395,146,209,523
ENSG00000120314,WDR55,protein_coding,1215,1449,1187,1607,471,151,232,618
ENSG00000120318,ARAP3,protein_coding,30,38,11,15,300,99,141,395
ENSG00000120322,PCDHB8,protein_coding,82,94,46,53,0,0,2,1
ENSG00000120324,PCDHB10,protein_coding,92,130,33,52,0,0,1,0
ENSG00000120327,PCDHB14,protein_coding,238,249,190,262,3,2,0,2
ENSG00000120328,PCDHB12,protein_coding,70,44,45,39,1,0,0,2
ENSG00000120329,SLC25A2,protein_coding,0,1,1,0,0,0,0,1
ENSG00000120332,TNN,protein_coding,8,11,11,7,1,0,0,0
ENSG00000120333,MRPS14,protein_coding,1444,1692,1939,2281,133,47,74,215
ENSG00000120334,CENPL,protein_coding,720,784,857,889,1232,481,568,1452
ENSG00000120337,TNFSF18,protein_coding,1,3,19,18,2,0,0,0
ENSG00000120341,SEC16B,protein_coding,2,0,0,0,0,0,0,0
ENSG00000120370,GORAB,protein_coding,424,485,451,497,550,188,180,477
ENSG00000120436,GPR31,protein_coding,6,2,1,0,0,0,0,0
ENSG00000120437,ACAT2,protein_coding,1592,1906,1749,1869,485,157,165,492
ENSG00000120438,TCP1,protein_coding,15375,17727,18009,21074,10684,3340,3384,9009
ENSG00000120440,TTLL2,protein_coding,0,1,0,1,1,0,3,2
ENSG00000120451,SNX19,protein_coding,4679,5460,4606,5728,1555,550,722,1983
ENSG00000120457,KCNJ5,protein_coding,1,1,1,2,6,2,3,4
ENSG00000120458,MSANTD2,protein_coding,1002,1144,929,1024,307,98,107,278
ENSG00000120471,TP53AIP1,protein_coding,0,7,1,2,0,1,0,0
ENSG00000120498,TEX11,protein_coding,7,3,2,1,0,0,0,0
ENSG00000120500,ARR3,protein_coding,2,8,5,16,2,0,2,4
ENSG00000120509,PDZD11,protein_coding,1407,1545,1945,2618,1437,520,593,1623
ENSG00000120519,SLC10A7,protein_coding,1346,1746,2481,2661,538,185,198,547
ENSG00000120526,NUDCD1,protein_coding,1250,1554,1761,1671,1877,620,819,2108
ENSG00000120533,ENY2,protein_coding,1583,1802,1913,2283,2032,651,571,1712
ENSG00000120539,MASTL,protein_coding,1126,1211,1108,1091,1531,530,488,1446
ENSG00000120549,KIAA1217,protein_coding,4756,5074,4408,4946,842,241,190,592
ENSG00000120563,LYZL1,protein_coding,0,0,0,1,3,0,0,0
ENSG00000120594,PLXDC2,protein_coding,1928,2447,1649,1785,17,5,12,43
ENSG00000120616,EPC1,protein_coding,1505,1732,1760,1775,677,251,253,698
ENSG00000120645,IQSEC3,protein_coding,6,6,10,9,1,2,0,0
ENSG00000120647,CCDC77,protein_coding,716,766,658,823,85,49,53,167
ENSG00000120656,TAF12,protein_coding,1444,1636,2558,2859,425,156,299,801
ENSG00000120658,ENOX1,protein_coding,230,262,343,522,24,3,15,32
ENSG00000120659,TNFSF11,protein_coding,1,3,0,0,0,0,0,0
ENSG00000120662,MTRF1,protein_coding,269,333,348,337,155,42,58,161
ENSG00000120669,SOHLH2,protein_coding,36,31,57,52,0,1,0,1
ENSG00000120675,DNAJC15,protein_coding,273,388,541,610,258,96,107,314
ENSG00000120685,PROSER1,protein_coding,5114,5490,4471,5319,765,272,280,959
ENSG00000120686,UFM1,protein_coding,4058,4501,5673,6214,2928,1046,861,2300
ENSG00000120688,WBP4,protein_coding,1665,1829,1699,1733,323,111,116,326
ENSG00000120690,ELF1,protein_coding,3158,3848,2474,2391,571,193,149,447
ENSG00000120693,SMAD9,protein_coding,2762,3002,1480,1546,902,275,166,405
ENSG00000120694,HSPH1,protein_coding,8011,10310,12838,12943,8648,2769,3681,10169
ENSG00000120696,KBTBD7,protein_coding,1330,1668,1525,1686,69,26,38,133
ENSG00000120697,ALG5,protein_coding,818,962,1210,1350,1474,445,507,1364
ENSG00000120699,EXOSC8,protein_coding,1606,1764,2187,2563,1705,590,755,2128
ENSG00000120705,ETF1,protein_coding,7746,9597,8764,9678,2986,952,1180,2978
ENSG00000120708,TGFBI,protein_coding,8,3,9,9,11885,4877,3076,7614
ENSG00000120709,FAM53C,protein_coding,3225,3747,2944,3866,776,233,312,808
ENSG00000120725,SIL1,protein_coding,1648,1790,2119,2889,33,11,14,43
ENSG00000120727,PAIP2,protein_coding,7362,7733,5985,6954,2533,797,596,1574
ENSG00000120729,MYOT,protein_coding,4,4,5,4,7,2,5,12
ENSG00000120733,KDM3B,protein_coding,5181,5927,4409,5189,1233,397,439,1214
ENSG00000120738,EGR1,protein_coding,93,55,150,271,6,1,2,1
ENSG00000120742,SERP1,protein_coding,4624,5165,8313,9554,3283,1127,1134,3219
ENSG00000120756,PLS1,protein_coding,691,776,860,955,1142,346,516,1265
ENSG00000120784,ZFP30,protein_coding,690,812,675,721,1,0,1,2
ENSG00000120798,NR2C1,protein_coding,1399,1653,1018,1164,1296,453,582,1364
ENSG00000120800,UTP20,protein_coding,1217,1697,2123,2152,838,225,489,1296
ENSG00000120802,TMPO,protein_coding,10062,11482,11454,10503,4092,1226,1642,4377
ENSG00000120805,ARL1,protein_coding,9970,11254,11051,12066,1420,501,473,1455
ENSG00000120820,GLT8D2,protein_coding,23,21,14,20,145,41,73,198
ENSG00000120832,MTERF2,protein_coding,1122,1246,1618,1947,266,83,128,349
ENSG00000120833,SOCS2,protein_coding,1404,1884,1055,1028,673,242,245,603
ENSG00000120837,NFYB,protein_coding,5757,6270,2978,3182,518,159,173,474
ENSG00000120860,WASHC3,protein_coding,3378,4053,3326,3784,102,31,22,82
ENSG00000120868,APAF1,protein_coding,498,534,355,427,1105,348,189,474
ENSG00000120875,DUSP4,protein_coding,1279,1383,1279,1633,2788,837,1077,3037
ENSG00000120885,CLU,protein_coding,1320,1602,375,515,5949,2154,2338,6695
ENSG00000120889,TNFRSF10B,protein_coding,3919,4954,4538,6109,1597,460,573,1467
ENSG00000120896,SORBS3,protein_coding,759,802,916,1301,1198,441,393,999
ENSG00000120899,PTK2B,protein_coding,7469,9128,5078,6652,67,33,29,91
ENSG00000120903,CHRNA2,protein_coding,2278,2574,1259,2116,0,0,0,0
ENSG00000120907,ADRA1A,protein_coding,16,39,73,70,2,0,3,6
ENSG00000120910,PPP3CC,protein_coding,970,1073,762,965,264,65,71,269
ENSG00000120913,PDLIM2,protein_coding,179,183,96,198,431,143,77,158
ENSG00000120915,EPHX2,protein_coding,1142,1232,1962,2707,144,61,119,269
ENSG00000120925,RNF170,protein_coding,346,389,414,498,472,181,168,431
ENSG00000120937,NPPB,protein_coding,0,0,1,0,0,0,0,0
ENSG00000120942,UBIAD1,protein_coding,826,893,1461,1992,456,164,318,824
ENSG00000120948,TARDBP,protein_coding,10498,11873,10374,12490,3718,1209,1217,3508
ENSG00000120949,TNFRSF8,protein_coding,15,11,13,30,2,0,1,1
ENSG00000120952,PRAMEF2,protein_coding,0,0,0,0,0,0,0,0
ENSG00000120963,ZNF706,protein_coding,1908,2229,2190,2385,1105,402,594,1581
ENSG00000120992,LYPLA1,protein_coding,4370,4782,5945,5983,451,140,175,388
ENSG00000121005,CRISPLD1,protein_coding,40,40,21,39,261,75,136,324
ENSG00000121022,COPS5,protein_coding,1728,2123,1922,2403,687,247,329,829
ENSG00000121039,RDH10,protein_coding,588,608,653,798,1071,360,1009,3180
ENSG00000121053,EPX,protein_coding,9,11,8,16,2,0,0,2
ENSG00000121057,AKAP1,protein_coding,4932,5687,5075,6961,372,116,182,515
ENSG00000121058,COIL,protein_coding,1747,2104,2095,1974,1011,350,389,1143
ENSG00000121060,TRIM25,protein_coding,3082,3926,4462,5178,4469,1433,1251,3503
ENSG00000121064,SCPEP1,protein_coding,1306,1609,1213,1356,1023,334,357,883
ENSG00000121067,SPOP,protein_coding,2721,3320,3066,3844,2633,837,847,2208
ENSG00000121068,TBX2,protein_coding,4,2,4,7,144,53,52,138
ENSG00000121073,SLC35B1,protein_coding,911,1138,776,1013,729,311,370,972
ENSG00000121075,TBX4,protein_coding,8,18,7,6,1,0,0,3
ENSG00000121101,TEX14,protein_coding,28,47,34,31,6,2,9,14
ENSG00000121104,FAM117A,protein_coding,765,788,693,1113,367,120,157,465
ENSG00000121152,NCAPH,protein_coding,1930,2214,1873,1870,2512,820,913,2521
ENSG00000121207,LRAT,protein_coding,148,175,0,4,14,3,7,14
ENSG00000121210,TMEM131L,protein_coding,795,981,852,992,124,49,71,196
